,field_year,field_category,field_publication,title,field_abbr_citation
244,2015,Public Service,The Post and Courier,The Post and Courier,"For &quot;Till Death Do Us Part,&quot; a riveting series that probed why South Carolina is among the deadliest states in the union for women and put the issue of what to do about it on the state&#039;s agenda."
245,2014,Public Service,The Guardian US,The Guardian US,"For its revelation of widespread secret surveillance by the National Security Agency, helping through aggressive reporting to spark a debate about the relationship between the government and the public over issues of security and privacy."
246,2014,Public Service,The Washington Post,The Washington Post,"For its revelation of widespread secret surveillance by the National Security Agency, marked by authoritative and insightful reports that helped the public understand how the disclosures fit into the larger framework of national security."
247,2013,Public Service,Sun Sentinel,Sun Sentinel,"For its well documented investigation of off-duty police officers who recklessly speed and endanger the lives of citizens, leading to disciplinary action and other steps to curtail a deadly hazard."
248,2012,Public Service,The Philadelphia Inquirer,The Philadelphia Inquirer,"For its exploration of pervasive violence in the city&#039;s schools, using powerful print narratives and videos to illuminate crimes committed by children against children and to stir reforms to improve safety for teachers and students."
249,2011,Public Service,Los Angeles Times,Los Angeles Times,"For its exposure of corruption in the small California city of Bell where officials tapped the treasury to pay themselves exorbitant salaries, resulting in arrests and reforms."
250,2010,Public Service,Bristol (VA) Herald Courier,Bristol (VA) Herald Courier,"For the work of Daniel Gilbert in illuminating the murky mismanagement of natural-gas royalties owed to thousands of land owners in southwest Virginia, spurring remedial action by state lawmakers."
251,2009,Public Service,,"Las Vegas Sun, and notably the courageous reporting by Alexandra Berzon","For the exposure of the high death rate among construction workers on the Las Vegas Strip amid lax enforcement of regulations, leading to changes in policy and improved safety conditions."
252,2008,Public Service,The Washington Post,The Washington Post,"in exposing mistreatment of wounded veterans at Walter Reed Hospital, evoking a national outcry and producing reforms by federal officials."
253,2007,Public Service,The Wall Street Journal,The Wall Street Journal,"For its creative and comprehensive probe into backdated stock options for business executives that triggered investigations, the ouster of top officials and widespread change in corporate America."
254,2006,Public Service,The Times-Picayune,The Times-Picayune,"For its heroic, multi-faceted coverage of Hurricane Katrina and its aftermath, making exceptional use of the newspaper&#039;s resources to serve an inundated city even after evacuation of the newspaper plant. (Selected by the Board from the Public Service category, where it was entered.)"
255,2006,Public Service,Sun Herald,Sun Herald,"For its valorous and comprehensive coverage of Hurricane Katrina, providing a lifeline for devastated readers, in print and online, during their time of greatest need."
256,2005,Public Service,Los Angeles Times,Los Angeles Times,"For its courageous, exhaustively researched series exposing deadly medical problems and racial injustice at a major public hospital."
257,2004,Public Service,The New York Times,The New York Times,"For the work of David Barstow and Lowell Bergman that relentlessly examined death and injury among American workers and exposed employers who break basic safety rules. (Moved by the Board from the Investigative Reporting category, where it was also entered.)"
258,2003,Public Service,The Boston Globe,The Boston Globe,"For its courageous, comprehensive coverage of sexual abuse by priests, an effort that pierced secrecy, stirred local, national and international reaction and produced changes in the Roman Catholic Church."
259,2002,Public Service,The New York Times,The New York Times,"For &quot;A Nation Challenged,&quot; a special section published regularly after the September 11th terrorist attacks on America, which coherently and comprehensively covered the tragic events, profiled the victims, and tracked the developing story, locally and globally."
260,2001,Public Service,The Oregonian,The Oregonian,"For its detailed and unflinching examination of systematic problems within the U.S. Immigration and Naturalization Service, including harsh treatment of foreign nationals and other widespread abuses, which prompted various reforms."
261,2000,Public Service,The Washington Post,"The Washington Post, notably for the work of Katherine Boo","that disclosed wretched neglect and abuse in the city&#039;s group homes for the mentally retarded, which forced officials to acknowledge the conditions and begin reforms."
262,1999,Public Service,The Washington Post,The Washington Post,For its series that identified and analyzed patterns of reckless gunplay by city police officers who had little training or supervision.
263,1998,Public Service,Grand Forks (ND) Herald,Grand Forks (ND) Herald,"For its sustained and informative coverage, vividly illustrated with photographs, that helped hold its community together in the wake of flooding, a blizzard and a fire that devastated much of the city, including the newspaper plant itself."
264,1997,Public Service,The Times-Picayune,The Times-Picayune,For its comprehensive series analyzing the conditions that threaten the world&#039;s supply of fish.
265,1996,Public Service,,"The News & Observer (Raleigh, NC)","For the work of Melanie Sill, Pat Stith and Joby Warrick on the environmental and health risks of waste disposal systems used in North Carolina&#039;s growing hog industry."
266,1995,Public Service,The Virgin Islands Daily News,The Virgin Islands Daily News,"For its disclosure of the links between the region&#039;s rampant crime rate and corruption in the local criminal justice system. The reporting, largely the work of Melvin Claxton, initiated political reforms."
267,1994,Public Service,Akron Beacon Journal,Akron Beacon Journal,For its broad examination of local racial attitudes and its subsequent effort to promote improved communication in the community.
268,1993,Public Service,The Miami Herald,The Miami Herald,"For coverage that not only helped readers cope with Hurricane Andrew&#039;s devastation but also showed how lax zoning, inspection and building codes had contributed to the destruction."
269,1992,Public Service,The Sacramento (CA) Bee,The Sacramento (CA) Bee,"For &quot;The Sierra in Peril,&quot; reporting by Tom Knudson that examined environmental threats and damage to the Sierra Nevada mountain range in California."
270,1991,Public Service,Des Moines Register,Des Moines Register,"For reporting by Jane Schorer that, with the victim&#039;s consent, named a woman who had been raped --which prompt widespread reconsideration of the traditional media practice of concealing the identity of rape victims."
271,1990,Public Service,Washington (NC) Daily News,Washington (NC) Daily News,"For revealing that the city&#039;s water supply was contaminated with carcinogens, a problem that the local government had neither disclosed nor corrected over a period of eight years."
272,1990,Public Service,The Philadelphia Inquirer,The Philadelphia Inquirer,For reporting by Gilbert M. Gaul that disclosed how the American blood industry operates with little government regulation or supervision.
273,1989,Public Service,Anchorage Daily News,Anchorage Daily News,For reporting about the high incidence of alcoholism and suicide among native Alaskans in a series that focused attention on their despair and resulted in various reforms.
274,1988,Public Service,The Charlotte Observer,The Charlotte Observer,For revealing misuse of funds by the PTL television ministry through persistent coverage conducted in the face of a massive campaign by PTL to discredit the newspaper.
275,1987,Public Service,The Pittsburgh Press,The Pittsburgh Press,"For reporting by Andrew Schneider and Matthew Brelis, which revealed the inadequacy of the FAA&#039;s medical screening of airline pilots and led to significant reforms."
276,1986,Public Service,The Denver Post,The Denver Post,"For its in-depth study of &quot;missing children,&quot; which revealed that most are involved in custody disputes or are runaways, and which helped mitigate national fears stirred by exaggerated statistics."
277,1985,Public Service,Fort Worth (TX) Star-Telegram,Fort Worth (TX) Star-Telegram,For reporting by Mark J. Thompson which revealed that nearly 250 U.S. servicemen had lost their lives as a result of a design problem in helicopters built by Bell Helicopter -a revelation which ultimately led the Army to ground almost 600 Huey helicopters pending their modification.
278,1984,Public Service,Los Angeles Times,Los Angeles Times,For an in-depth examination of southern California&#039;s growing Latino community by a team of editors and reporters.
279,1983,Public Service,Jackson (MS) Clarion-Ledger,Jackson (MS) Clarion-Ledger,For its successful campaign supporting Governor Winter in his legislative battle for reform of Mississippi&#039;s public education system.
280,1982,Public Service,The Detroit News,The Detroit News,For a series by Sydney P. Freedberg and David Ashenfelter which exposed the U.S. Navy&#039;s cover-up of circumstances surrounding the deaths of seamen aboard ship and which led to significant reforms in naval procedures.
281,1981,Public Service,Charlotte (NC) Observer,Charlotte (NC) Observer,For its series on &quot;Brown Lung: A Case of Deadly Neglect.&quot;
282,1980,Public Service,,Gannett News Service,For its series on financial contributions to the Pauline Fathers.
283,1979,Public Service,Point Reyes Light,Point Reyes Light,For its investigation of Synanon.
284,1978,Public Service,The Philadelphia Inquirer,The Philadelphia Inquirer,For a series of articles showing abuses of power by the police in its home city.
285,1977,Public Service,Lufkin (TX) News,Lufkin (TX) News,"For an obituary of a local man who died in Marine training camp, which grew into an investigation of that death and a fundamental reform in the recruiting and training practices of the United States Marine Corps."
286,1976,Public Service,Anchorage Daily News,Anchorage Daily News,For its disclosures of the impact and influence of the Teamsters Union on Alaska&#039;s economy and politics.
287,1975,Public Service,The Boston Globe,The Boston Globe,For its massive and balanced coverage of the Boston school desegregation crisis.
288,1974,Public Service,Newsday,Newsday,"For its definitive report on the illicit narcotic traffic in the United States and abroad, entitled, &quot;The Heroin Trail.&quot;"
289,1973,Public Service,The Washington Post,The Washington Post,For its investigation of the Watergate case.
290,1972,Public Service,The New York Times,The New York Times,For the publication of the Pentagon Papers.
291,1971,Public Service,Winston-Salem (NC) Journal and Sentinel,Winston-Salem (NC) Journal and Sentinel,"For coverage of environmental problems, as exemplified by a successful campaign to block strip mining operation that would have caused irreparable damage to the hill country of northwest North Carolina."
292,1970,Public Service,Newsday,Newsday,"For its three-year investigation and exposure of secret land deals in eastern Long Island, which led to a series of criminal convictions, discharges and resignations among public and political officeholders in the area."
293,1969,Public Service,Los Angeles Times,Los Angeles Times,"For its expose of wrongdoing within the Los Angeles City Government Commissions, resulting in resignations or criminal convictions of certain members, as well as widespread reforms."
294,1968,Public Service,Riverside (CA) Press-Enterprise,Riverside (CA) Press-Enterprise,"For its expose of corruption in the courts in connection with the handling of the property and estates of an Indian tribe in California, and its successful efforts to punish the culprits."
295,1967,Public Service,Milwaukee Journal,Milwaukee Journal,"For its successful campaign to stiffen the law against water pollution in Wisconsin, a notable advance in the national effort for the conservation of natural resources."
296,1967,Public Service,Louisville Courier-Journal,Staff,"For its successful campaign to control the Kentucky strip mining industry, a notable advance in the national effort for the conservation of natural resources."
297,1966,Public Service,The Boston Globe,The Boston Globe,For its campaign to prevent confirmation of Francis X Morrissey as a Federal District Judge in Massachusetts.
298,1965,Public Service,Hutchinson (KS) News,Hutchinson (KS) News,"For its courageous and constructive campaign, culminating in 1964, to bring about more equitable reapportionment of the Kansas Legislature, despite powerful opposition in its own community."
299,1964,Public Service,St. Petersburg (FL) Times,St. Petersburg (FL) Times,For its aggressive investigation of the Florida Turnpike Authority which disclosed widespread illegal acts and resulted in a major reorganization of the State&#039;s road construction program.
300,1963,Public Service,Chicago Daily News,Chicago Daily News,For calling public attention to the issue of providing birth control services in the public health programs in its area.
301,1962,Public Service,Panama City (FL) News-Herald,Panama City (FL) News-Herald,"For its three-year campaign against entrenched power and corruption, with resultant reforms in Panama City and Bay County."
302,1961,Public Service,Amarillo (TX) Globe-Times,Amarillo (TX) Globe-Times,For exposing a breakdown in local law enforcement with resultant punitive action that swept lax officials from their posts and brought about the election of a reform slate. The newspaper thus exerted its civic leadership in the finest tradition of journalism.
303,1960,Public Service,Los Angeles Times,Los Angeles Times,"For its thorough, sustained and well-conceived attack on narcotics traffic and the enterprising reporting of Gene Sherman, which led to the opening of negotiations between the United States and Mexico to halt the flow of illegal drugs into southern California and other border states."
304,1959,Public Service,Utica (NY) Observer-Dispatch and Utica Daily Press,Utica (NY) Observer-Dispatch and Utica Daily Press,"For their successful campaign against corruption, gambling and vice in their home city and the achievement of sweeping civic reforms in the face of political pressure and threats of violence. By their stalwart leadership of the forces of good government, these newspapers upheld the best tradition of a free press."
305,1958,Public Service,Arkansas Gazette,Arkansas Gazette,"For demonstrating the highest qualities of civic leadership, journalistic responsibility and moral courage in the face of great public tension during the school integration crisis of 1957. The newspaper&#039;s fearless and completely objective news coverage, plus its reasoned and moderate policy, did much to restore calmness and order to an overwrought community, reflecting great credit on its editors and its management."
306,1957,Public Service,Chicago Daily News,Chicago Daily News,"For determined and courageous public service in exposing a $2,500,000 fraud centering in the office of the State Auditor of Illinois, resulting in the indictment and conviction of the State Auditor and others. This led to the reorganization of State procedures to prevent a recurrence of the fraud."
307,1956,Public Service,Watsonville (CA) Register-Pajaronian,Watsonville (CA) Register-Pajaronian,"For courageous exposure of corruption in public office, which led to the resignation of a district attorney and the conviction of one of his associates."
308,1955,Public Service,Columbus (GA) Ledger and Sunday Ledger-Enquirer,Columbus (GA) Ledger and Sunday Ledger-Enquirer,"For its complete news coverage and fearless editorial attack on widespread corruption in neighboring Phenix City, Ala., which were effective in destroying a corrupt and racket-ridden city government. The newspaper exhibited an early awareness of the evils of lax law enforcement before the situation in Phenix City erupted into murder. It covered the whole unfolding story of the final prosecution of the wrong-doers with skill, perception, force and courage."
309,1954,Public Service,Newsday,Newsday,"For its expose of New York State&#039;s race track scandals and labor racketeering, which led to the extortion indictment, guilty plea and imprisonment of William C. DeKoning, Sr., New York labor racketeer."
310,1953,Public Service,Whiteville News Reporter and Tabor City  Tribune,Whiteville News Reporter and Tabor City  Tribune,"For their successful campaign against the Ku Klux Klan, waged on their own doorstep at the risk of economic loss and personal danger, culminating in the conviction of over one hundred Klansmen and an end to terrorism in their communities."
311,1952,Public Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,For its investigation and disclosures of wide spread corruption in the Internal Revenue Bureau and other departments of the government.
312,1951,Public Service,Miami Herald and Brooklyn Eagle,Miami Herald and Brooklyn Eagle,For their crime reporting during the year.
313,1950,Public Service,Chicago Daily News and St. Louis Post-Dispatch,Chicago Daily News and St. Louis Post-Dispatch,"For the work of George Thiem and Roy J. Harris, respectively, in exposing the presence of 37 Illinois newspapermen on an Illinois State payroll."
314,1949,Public Service,,Nebraska State Journal,"For the campaign establishing the &quot;Nebraska All-Star Primary&quot; presidential preference primary which spotlighted, through a bi-partisan committee, issues early in the presidential campaign."
315,1948,Public Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,"For the coverage of the Centralia, Illinois, mine disaster and the follow-up which resulted in impressive reforms in mine safety laws and regulations."
316,1947,Public Service,Baltimore Sun,Baltimore Sun,"For its series of articles by Howard M. Norton dealing with the administration of unemployment compensation in Maryland, resulting in convictions and pleas of guilty in criminal court of 93 persons."
317,1946,Public Service,The Scranton Times,The Scranton Times,"For its fifteen-year investigation of judicial practices in the United States District Court for the middle district of Pennsylvania, resulting in removal of the District Judge and indictment of many others."
318,1945,Public Service,Detroit Free Press,Detroit Free Press,"For its investigation of legislative graft and corruption at Lansing, Michigan."
319,1944,Public Service,The New York Times,The New York Times,For its survey of the teaching of American History.
320,1943,Public Service,Omaha (NE) World-Herald,Omaha (NE) World-Herald,"For its initiative and originality in planning a state-wide campaign for the collection of scrap metal for the war effort. The Nebraska plan was adopted on a national scale by the daily newspapers, resulting in a united effort which succeeded in supplying our war industries with necessary scrap material."
321,1942,Public Service,Los Angeles Times,Los Angeles Times,For its successful campaign which resulted in the clarification and confirmation for all American newspapers of the right of free press as guaranteed under the Constitution.
322,1941,Public Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,For its successful campaign against the city smoke nuisance.
323,1940,Public Service,Waterbury (CT) Republican &amp; American,Waterbury (CT) Republican & American,For its campaign exposing municipal graft.
324,1939,Public Service,Miami Daily News,Miami Daily News,For its campaign for the recall of the Miami City Commission.
325,1938,Public Service,Bismarck (ND) Tribune,Bismarck (ND) Tribune,"For its news reports and editorials entitled, &quot;Self Help in the Dust Bowl.&quot;"
326,1937,Public Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,"For its exposure of wholesale fraudulent registration in St. Louis. By a coordinated news, editorial and cartoon campaign this newspaper succeeded in invalidating upwards of 40,000 fraudulent ballots in November and brought about the appointment of a new election board."
327,1936,Public Service,Cedar Rapids Gazette,Cedar Rapids Gazette,For its crusade against corruption and misgovernment in the State of Iowa.
328,1935,Public Service,The Sacramento (CA) Bee,The Sacramento (CA) Bee,For its campaign against political machine influence in the appointment of two Federal judges in Nevada.
329,1934,Public Service,Medford (OR) Mail Tribune,Medford (OR) Mail Tribune,"For its campaign against unscrupulous politicians in Jackson County, Oregon."
330,1933,Public Service,New York World-Telegram,New York World-Telegram,"For its series of articles on veterans relief, on the real estate bond evil, the campaign urging voters in the late New York City municipal election to &quot;write in&quot; the name of Joseph V. McKee, and the articles exposing the lottery schemes of various fraternal organizations."
331,1932,Public Service,Indianapolis News,Indianapolis News,For its successful campaign to eliminate waste in city management and to reduce the tax levy.
332,1931,Public Service,The Atlanta Constitution,The Atlanta Constitution,For a successful municipal graft exposure and consequent convictions.
333,1929,Public Service,New York Evening World,New York Evening World,"For its effective campaign to correct evils in the administration of justice, including the fight to curb &quot;ambulance chasers,&quot; support of the &quot;fence&quot; bill, and measures to simplify procedure, prevent perjury and eliminate politics from municipal courts; a campaign which has been instrumental in securing remedial action."
334,1928,Public Service,The Indianapolis Times,The Indianapolis Times,"For its work in exposing political corruption to Indiana, prosecuting the guilty and bringing about a more wholesome state of affairs in civil government."
335,1927,Public Service,Canton (Ohio) Daily News,Canton (Ohio) Daily News,"For its brave, patriotic and effective fight for the ending of a vicious state of affairs brought about by collusion between city authorities and the criminal element, a fight which had a tragic result in the assassination of the editor of the paper, Mr. Don R. Mellett."
336,1926,Public Service,Columbus (GA) Enquirer Sun,Columbus (GA) Enquirer Sun,For the service which it rendered in its brave and energetic fight against the Ku Klux Klan; against the enactment of a law barring the teaching of evolution; against dishonest and incompetent public officials and for justice to the Negro and against lynching.
337,1924,Public Service,New York World,New York World,For its work in connection with the exposure of the Florida peonage evil.
338,1923,Public Service,Memphis Commercial Appeal,Memphis Commercial Appeal,For its courageous attitude in the publication of cartoons and the handling of news in reference to the operations of the Ku Klux Klan.
339,1922,Public Service,New York World,New York World,"For articles exposing the operations of the Ku Klux Klan, published during September and October, 1921."
340,1921,Public Service,The Boston Post,The Boston Post,For its exposure of the operations of Charles Ponzi by a series of articles which finally led to his arrest.
341,1919,Public Service,The Milwaukee Journal,The Milwaukee Journal,For its strong and courageous campaign for Americanism in a constituency where foreign elements made such a policy hazardous from a business point of view.
342,1918,Public Service,The New York Times,The New York Times,"For its public service in publishing in full so many official reports, documents and speeches by European statesmen relating to the progress and conduct of the war."
343,2020,Breaking News Reporting,,"Staff of The Courier-Journal, Louisville, Ky.","For its rapid coverage of hundreds of last-minute pardons by Kentucky’s governor, showing how the process was marked by opacity, racial disparities and violations of legal norms. (Moved by the jury from Local Reporting, where it was originally entered.)"
344,2019,Breaking News Reporting,,Staff of the Pittsburgh Post-Gazette,"For immersive, compassionate coverage of the massacre at Pittsburgh’s Tree of Life synagogue that captured the anguish and resilience of a community thrust into grief."
345,2018,Breaking News Reporting,,Staff of The Press Democrat,"For lucid and tenacious coverage of historic wildfires that ravaged the city of Santa Rosa and Sonoma County, expertly utilizing an array of tools, including photography, video and social media platforms, to bring clarity to its readers — in real time and in subsequent in-depth reporting."
346,2017,Breaking News Reporting,East Bay Times,Staff,"For relentless coverage of the “Ghost Ship” fire, which killed 36 people at a warehouse party, and for reporting after the tragedy that exposed the city’s failure to take actions that might have prevented it."
347,2016,Breaking News Reporting,Los Angeles Times,Los Angeles Times Staff,"For exceptional reporting, including both local and global perspectives, on the shooting in San Bernardino and the terror investigation that followed."
348,2015,Breaking News Reporting,The Seattle Times,The Seattle Times Staff,For its digital account of a landslide that killed 43 people and the impressive follow-up reporting that explored whether the calamity could have been avoided.
349,2014,Breaking News Reporting,The Boston Globe,Staff,"For its exhaustive and empathetic coverage of the Boston Marathon bombings and the ensuing manhunt that enveloped the city, using photography and a range of digital tools to capture the full impact of the tragedy."
350,2013,Breaking News Reporting,The Denver Post,Staff,"For its comprehensive coverage of the mass shooting at a movie theater in Aurora, Colo., that killed 12 and injured 58, using journalistic tools, from Twitter and Facebook to video and written reports, both to capture a breaking story and provide context."
351,2012,Breaking News Reporting,The Tuscaloosa News,Staff,"For its enterprising coverage of a deadly tornado, using social media as well as traditional reporting to provide real-time updates, help locate missing people and produce in-depth print accounts even after power disruption forced the paper to publish at another plant 50 miles away."
352,2011,Breaking News Reporting,,No award,No award
353,2010,Breaking News Reporting,The Seattle Times,Staff,"For its comprehensive coverage, in print and online, of the shooting deaths of four police officers in a coffee house and the 40-hour manhunt for the suspect."
354,2009,Breaking News Reporting,The New York Times,Staff,"For its swift and sweeping coverage of a sex scandal that resulted in the resignation of Gov. Eliot Spitzer, breaking the story on its Web site and then developing it with authoritative, rapid-fire reports."
355,2008,Breaking News Reporting,The Washington Post,Staff,"For its exceptional, multi-faceted coverage of the deadly shooting rampage at Virginia Tech, telling the developing story in print and online."
356,2007,Breaking News Reporting,The Oregonian,Staff,"For its skillful and tenacious coverage of a family missing in the Oregon mountains, telling the tragic story both in print and online."
357,2006,Breaking News Reporting,The Times-Picayune,Staff,"For its courageous and aggressive coverage of Hurricane Katrina, overcoming desperate conditions facing the city and the newspaper."
358,2005,Breaking News Reporting,The Star-Ledger,Staff,"For its comprehensive, clear-headed coverage of the resignation of New Jersey&#039;s governor after he announced he was gay and confessed to adultery with a male lover."
359,2004,Breaking News Reporting,Los Angeles Times,Staff,For its compelling and comprehensive coverage of the massive wildfires that imperiled a populated region of southern California.
360,2003,Breaking News Reporting,The Eagle-Tribune,Staff,"For its detailed, well-crafted stories on the accidental drowning of four boys in the Merrimack River."
361,2002,Breaking News Reporting,The Wall Street Journal,Staff,"For its comprehensive and insightful coverage, executed under the most difficult circumstances, of the terrorist attack on New York City, which recounted the day&#039;s events and their implications for the future."
362,2001,Breaking News Reporting,The Miami Herald,Staff,For its balanced and gripping on-the-scene coverage of the pre-dawn raid by federal agents that took the Cuban boy Elian Gonzalez from his Miami relatives and reunited him with his Cuban father.
363,2000,Breaking News Reporting,The Denver Post,Staff,For its clear and balanced coverage of the student massacre at Columbine High School.
364,1999,Breaking News Reporting,Hartford (CT) Courant,Staff,For its clear and detailed coverage of a shooting rampage in which a state lottery worker killed four supervisors then himself.
365,1998,Breaking News Reporting,Los Angeles Times,Staff,For its comprehensive coverage of a botched bank robbery and subsequent police shoot-out in North Hollywood.
366,2020,Investigative Reporting,The New York Times,Brian M. Rosenthal of The New York Times,"For an exposé of New York City’s taxi industry that showed how lenders profited from predatory loans that shattered the lives of vulnerable drivers, reporting that ultimately led to state and federal investigations and sweeping reforms."
367,2019,Investigative Reporting,Los Angeles Times,"Matt Hamilton, Harriet Ryan and Paul Pringle of the Los Angeles Times",For consequential reporting on a University of Southern California gynecologist accused of violating hundreds of young women for more than a quarter-century.
368,2018,Investigative Reporting,The Washington Post,Staff of The Washington Post,For purposeful and relentless reporting that changed the course of a Senate race in Alabama by revealing a candidate’s alleged past sexual harassment of teenage girls and subsequent efforts to undermine the journalism that exposed it.
369,2017,Investigative Reporting,Charleston Gazette-Mail,Eric Eyre,"For courageous reporting, performed in the face of powerful opposition, to expose the flood of opioids flowing into depressed West Virginia counties with the highest overdose death rates in the country."
370,2016,Investigative Reporting,,Leonora LaPeter Anton and Anthony Cormier of the Tampa Bay Times and Michael Braga of the Sarasota Herald-Tribune,For a stellar example of collaborative reporting by two news organizations that revealed escalating violence and neglect in Florida mental hospitals and laid the blame at the door of state officials.
371,2015,Investigative Reporting,The New York Times,Eric Lipton,"For reporting that showed how the influence of lobbyists can sway congressional leaders and state attorneys general, slanting justice toward the wealthy and connected."
372,2015,Investigative Reporting,The Wall Street Journal,The Wall Street Journal Staff,"For &quot;Medicare Unmasked,&quot; a pioneering project that gave Americans unprecedented access to previously confidential data on the motivations and practices of their health care providers."
373,2014,Investigative Reporting,The Center for Public Integrity,Chris Hamby,"For his reports on how some lawyers and doctors rigged a system to deny benefits to coal miners stricken with black lung disease, resulting in remedial legislative efforts."
374,2013,Investigative Reporting,The New York Times,David Barstow and Alejandra Xanic von Bertrab,"For their reports on how Wal-Mart used widespread bribery to dominate the market in Mexico, resulting in changes in company practices."
375,2012,Investigative Reporting,the Associated Press,"Matt Apuzzo, Adam Goldman, Eileen Sullivan and Chris Hawley","For their spotlighting of the New York Police Department&#039;s clandestine spying program that monitored daily life in Muslim communities, resulting in congressional calls for a federal investigation, and a debate over the proper role of domestic intelligence gathering."
376,2012,Investigative Reporting,The Seattle Times,Michael J. Berens and Ken Armstrong,"For their investigation of how a little known governmental body in Washington State moved vulnerable patients from safer pain-control medication to methadone, a cheaper but more dangerous drug, coverage that prompted statewide health warnings."
377,2011,Investigative Reporting,Sarasota Herald-Tribune,Paige St. John,"For her examination of weaknesses in the murky property-insurance system vital to Florida homeowners, providing handy data to assess insurer reliability and stirring regulatory action."
378,2010,Investigative Reporting,Philadelphia Daily News,Barbara Laker and Wendy Ruderman,"For their resourceful reporting that exposed a rogue police narcotics squad, resulting in an FBI probe and the review of hundreds of criminal cases tainted by the scandal."
379,2010,Investigative Reporting,,"Sheri Fink of ProPublica, in collaboration with The New York Times Magazine",For a story that chronicles the urgent life-and-death decisions made by one hospital&#039;s exhausted doctors when they were cut off by the floodwaters of Hurricane Katrina.
380,2009,Investigative Reporting,The New York Times,David Barstow,"For his tenacious reporting that revealed how some retired generals, working as radio and television analysts, had been co-opted by the Pentagon to make its case for the war in Iraq, and how many of them also had undisclosed ties to companies that benefited from policies they defended."
381,2008,Investigative Reporting,The New York Times,Walt Bogdanich and Jake Hooker,"For their stories on toxic ingredients in medicine and other everyday products imported from China, leading to crackdowns by American and Chinese officials."
382,2008,Investigative Reporting,Chicago Tribune,Staff,"For its exposure of faulty governmental regulation of toys, car seats and cribs, resulting in the extensive recall of hazardous products and congressional action to tighten supervision."
383,2007,Investigative Reporting,The Birmingham (AL) News,Brett Blackledge,"For his exposure of cronyism and corruption in the state&#039;s two-year college system, resulting in the dismissal of the chancellor and other corrective action. (Moved by the Board from the Public Service category.)"
384,2006,Investigative Reporting,The Washington Post,"Susan Schmidt, James V. Grimaldi and R. Jeffrey Smith",For their indefatigable probe of Washington lobbyist Jack Abramoff that exposed congressional corruption and produced reform efforts.
385,2005,Investigative Reporting,Willamette Week,Nigel Jaquiss,For his investigation exposing a former governor&#039;s long concealed sexual misconduct with a 14-year-old girl.
386,2004,Investigative Reporting,The Blade,"Michael D. Sallah, Mitch Weiss and Joe Mahr","For their powerful series on atrocities by Tiger Force, an elite U.S. Army platoon, during the Vietnam War."
387,2003,Investigative Reporting,The New York Times,Clifford J. Levy,"For his vivid, brilliantly written series &quot;Broken Homes&quot; that exposed the abuse of mentally ill adults in state-regulated homes."
388,2002,Investigative Reporting,The Washington Post,"Sari Horwitz, Scott Higham and Sarah Cohen","For a series that exposed the District of Columbia&#039;s role in the neglect and death of 229 children placed in protective care between 1993 and 2000, which prompted an overhaul of the city&#039;s child welfare system."
389,2001,Investigative Reporting,Los Angeles Times,David Willman,"For his pioneering exposé of seven unsafe prescription drugs that had been approved by the Food and Drug Administration, and an analysis of the policy reforms that had reduced the agency&#039;s effectiveness."
390,2000,Investigative Reporting,Associated Press,"Sang-Hun Choe, Charles J. Hanley and Martha Mendoza","For revealing, with extensive documentation, the decades-old secret of how American soldiers early in the Korean War killed hundreds of Korean civilians in a massacre at the No Gun Ri Bridge."
391,1999,Investigative Reporting,The Miami Herald,Staff,"For its detailed reporting that revealed pervasive voter fraud in a city mayoral election, that was subsequently overturned."
392,1998,Investigative Reporting,The Baltimore Sun,Gary Cohn and Will Englund,"For their compelling series on the international shipbreaking industry, that revealed the dangers posed to workers and the environment when discarded ships are dismantled."
393,1997,Investigative Reporting,The Seattle Times,"Eric Nalder, Deborah Nelson and Alex Tizon","For their investigation of widespread corruption and inequities in the federally-sponsored housing program for Native Americans, which inspired much-needed reforms."
394,1996,Investigative Reporting,The Orange County Register,Staff,For reporting that uncovered fraudulent and unethical fertility practices at a leading research university hospital and prompted key regulatory reforms.
395,1995,Investigative Reporting,Newsday,Brian Donovan and Stephanie Saul,For their stories that revealed disability pension abuses by local police.
396,1994,Investigative Reporting,Providence Journal-Bulletin,Staff,For thorough reporting that disclosed pervasive corruption within the Rhode Island court system.
397,1993,Investigative Reporting,Orlando (FL) Sentinel,Jeff Brazil and Steve Berry,For exposing the unjust seizure of millions of dollars from motorists --most of them minorities-- by a sheriff&#039;s drug squad.
398,1992,Investigative Reporting,Dallas Morning News,Lorraine Adams and Dan Malone,For reporting that charged Texas police with extensive misconduct and abuses of power.
399,1991,Investigative Reporting,The Indianapolis Star,Joseph T. Hallinan and Susan M. Headden,For their shocking series on medical malpractice in the state.
400,1990,Investigative Reporting,Star Tribune,Lou Kilzer and Chris Ison,"For reporting that exposed a network of local citizens who had links to members of the St. Paul fire department and who profited from fires, including some described by the fire department itself as being of suspicious origin."
401,1989,Investigative Reporting,The Atlanta Journal and Constitution,Bill Dedman,"For his investigation of the racial discrimination practiced by lending institutions in Atlanta, reporting which led to significant reforms in those policies."
